user_id,item_name,raiting
76561197970982479,Killing Floor,5
js41637,Barbie™ Dreamhouse Party™,5
evcentric,Risk of Rain,5
doctr,The Wolf Among Us,5
maplemage,Dark Souls: Prepare to Die Edition,3
Wackky,LEGO® MARVEL Super Heroes,1
76561198079601835,Counter-Strike: Global Offensive,3
MeaTCompany,Counter-Strike: Global Offensive,1
76561198089393905,The Elder Scrolls V: Skyrim,1
76561198156664158,Rocket League,5
WeiEDKrSat,Garry's Mod,3
thequeenpanda,Magicka,3
death-hunter,Killing Floor 2,5
DJKamBer,Unturned,1
Rainbow-Dashie,Counter-Strike: Global Offensive,5
76561198043472122,Driver San Francisco,1
MarbleShrine,Kerbal Space Program,5
PPanther,Starbound,5
Fr0stedLine,Half-Life 2,5
starkillershadow553,Sniper Elite 3,5
76561198058373434,BioShock Infinite,3
76561198048353577,Kingdom: Classic,1
76561198066046412,Elite Dangerous,1
tru_mu_,Mini Metro,5
76561198070565427,PAYDAY 2,3
SavageEeEe,DayZ,5
KanadeTheNeko,Everlasting Summer,5
Leaf_Light_Moscow,TERA,5
GoAwayZach,Unturned,5
76561198054540475,Grand Theft Auto IV,5
76561198085547365,BattleBlock Theater,5
76561198061252210,Counter-Strike: Global Offensive,5
OfficialShroomsy,The Binding of Isaac,1
VVillis,South Park™: The Stick of Truth™,3
76561198083226897,Terraria,1
76561198075277292,Counter-Strike: Global Offensive,3
76561198028895010,ArtRage 4,5
76561198170198366,HAWKEN,5
diego9031,Garry's Mod,3
76561198078738103,Unturned,1
76561198070194565,Planetary Annihilation,3
Rivtex,The Escapists,3
UTNerd24,Assetto Corsa,1
sandwiches1,Emily is Away,2
76561198138053270,PAYDAY 2,5
lucaswerg,PAYDAY 2,5
Life-Of-Blu,Fallout 4,5
CaptianAutismo,Rust,5
TheDropix101,Banished,5
kube134,Long Live The Queen,5
iamthekingofbrowntown,Reign Of Kings,1
MainScout,Left 4 Dead 2,5
yookobz,Fallout 4,5
Posiblydead,Halo: Spartan Assault,5
76561198102421718,Yet Another Zombie Defense,5
76561198056741844,Counter-Strike: Global Offensive,3
sad-commie,RimWorld,1
76561198030567998,Five Nights at Freddy's 2,3
76561198010674657,Fallout 4,4
Coldaniel,Rising Storm/Red Orchestra 2 Multiplayer,5
therealmorty,Killing Floor: Uncovered,5
Berserklejerker,Undertale,3
76561198061730629,Left 4 Dead 2,5
possessioniskey,The Elder Scrolls V: Skyrim,5
76561198060447950,XCOM: Enemy Unknown,5
whiteofwolfing,Counter-Strike: Global Offensive,5
sergarino,Sakura Clicker,3
76561198081962345,Realm of the Mad God,5
76561198073210139,Trove,1
Nozomikat,Epic Battle Fantasy 4,1
xfluttersx,Eternal Senia,5
76561198056290589,Counter-Strike: Global Offensive,5
ii_voltage_ii,theHunter,1
Hirukaz,Left 4 Dead 2,1
StelerForYou,Counter-Strike: Global Offensive,5
Xx-Woods,BrainBread 2,2
kevinator23,Tokyo School Life,1
76561198090715178,Garry's Mod,5
CatsWhale,Medieval Engineers,1
76561198073784601,DayZ,5
mimimomoma,Counter-Strike: Global Offensive,1
de_Butl3r,Blacklight: Retribution,1
76561198027947401,Geometry Dash,5
76561198074200011,Counter-Strike: Global Offensive,5
jonasdbomb,ARK: Survival Evolved,5
Lord_Exploit,Assassin's Creed Rogue,5
AVATAR715,Anno 2070,1
YieuwMage,Counter-Strike: Global Offensive,5
76561198078752187,Counter-Strike: Source,1
A-Very-Sly-Person,Unturned,3
76561198211054671,Counter-Strike: Global Offensive,1
76561197994493402,Tom Clancy's The Division,1
Koolcaz12,Master of Orion,4
76561198065656175,Sakura Clicker,5
97396295,Robocraft,5
76561198126640317,7 Days to Die,5
DemonicWolvz,Saints Row: The Third,5
DieMadchenschanderin,ARK: Survival Evolved,5
Myther43,Evolve Stage 2,5
getf0kinn0sc0pedm9,Counter-Strike: Global Offensive,1
76561198141443390,Counter-Strike: Global Offensive,5
whodafuqisthisguilao,Counter-Strike: Global Offensive,5
Magjiikal,Pixel Galaxy,5
76561198050347115,The Witcher 3: Wild Hunt,5
2768820078,METAL GEAR SOLID V: THE PHANTOM PAIN,3
76561198056392326,Savant - Ascent,3
2d4nk4m3,Cubic Castles,1
76561198078478151,Counter-Strike: Global Offensive,3
exiaez,Hacknet,3
76561198095921854,Tropico 5,5
EizanAratoFujimaki,Half-Life,1
TeCool,Influent,5
jewxxl,Sins of a Dark Age,5
76561198088944293,Tom Clancy's Rainbow Six Siege,3
76561198092540221,Portal,5
76561198051258119,Counter-Strike: Global Offensive,5
nubquake123,Epic Battle Fantasy 4,5
Pyromanic,Poker Night at the Inventory,5
CobRazor,Rust,1
relesprit,Sid Meier's Civilization V,5
WitchHunter4542,Unturned,5
pwrt,Warframe,5
76561198115868847,Chivalry: Medieval Warfare,1
76561198031207016,Sid Meier's Civilization V,5
76561198043458582,Terraria,1
smashiroshh,PAYDAY 2,5
shark854,Just Cause 3,5
76561198047630659,Warframe,4
1337lolroflmao,Grand Theft Auto V,3
sithjjf,BLOCKADE 3D,1
OzfurAtlas,PAYDAY 2,2
76561198065593074,Unturned,1
76561198044169764,Heroes & Generals,2
euzi,War Thunder,5
76561198074935997,DayZ,1
76561197961778802,Counter-Strike: Global Offensive,5
76561198016602703,Robocraft,1
76561198087010391,Garry's Mod,5
66666669999999,BLOCKADE 3D,2
76561198061174192,Kerbal Space Program,5
ReMiXOfficalSteam,Dead Realm,5
Wilfire77,theHunter: Primal,5
Mastic,Trove,1
76561198028286104,Call of Duty: Modern Warfare 2,5
tarjla,The Forest,5
deathnz1,Defense Technica,1
readingthis4noobs,Heroes & Generals,5
76561198104393251,Unturned,3
76561198075322986,Counter-Strike: Global Offensive,3
redsncrimson,Square's Route,5
76561198151910904,Rocket League,5
H1DD3NT3RR0R,Counter-Strike: Source,5
76561198071214618,Magicite,5
t8s,Ultimate Tic-Tac-Toe,1
pikawuu2,Warframe,1
Sammeh00,Robocraft,5
Michaelele,STAR WARS™ Battlefront™ II,1
76561198045754869,LISA,1
76561198076098774,WAKFU,5
76561198048417105,Grand Theft Auto V,5
76561198090842891,Just Cause 2,5
76561198055767971,Nether,1
76561197998052647,Ascend: Hand of Kul,1
adohya343,Dead Bits,2
76561198145436942,DayZ,5
3xotic26,Left 4 Dead,5
iamthetrashlord,Saints Row IV,3
3dster,Left 4 Dead 2,5
76561198079990063,Beatbuddy: Tale of the Guardians,5
Forty-Nine,DayZ,1
76561198051017916,Moonrise,3
L4M1NAS,Heroes & Generals,5
76561198096766604,Robocraft,1
76561197995322437,Subnautica,5
imsojipper,PAYDAY 2,5
76561198084542731,Saints Row IV,3
mrpfresh,Dungeon Defenders II,1
EHS-R3AP3R,ZOMBI,4
chidori_647,Grim Dawn,1
76561198092227136,Counter-Strike: Global Offensive,5
hellcat59,Garry's Mod,5
tbimperator,Rising Storm/Red Orchestra 2 Multiplayer,5
Allahu_Akbar666,Warframe,5
ulramite,LogicBots,1
-GM-Dragon,Infestation: Survivor Stories Classic,1
76561198054040292,Only If,1
76561198078799606,NBA 2K16,1
I_DID_911_JUST_SAYING,Gear Up,5
750805,Slain: Back from Hell,4
diabeticfuck,PAYDAY 2,1
76561198054465623,BLOCKADE 3D,1
abiam,Path of Exile,3
FrankoWalker,The Way of Life Free Edition,5
LightfootSword7,DayZ,1
SALTTHEW0UND,Risk of Rain,3
express157,Unturned,5
76561198074644990,The Forest,3
76561198064304806,Counter-Strike: Global Offensive,1
TomoeMamiewe,Prototype,3
76561198057086148,Total War: ROME II - Emperor Edition,1
Acidius99,PAYDAY 2,5
acorn13,Sakura Spirit,1
AddzyTheBaddzy,Brawlhalla,5
mrfunkyjunkie,Planetary Annihilation,1
mradobe7,No Man's Sky,1
76561198167207237,Paint the Town Red,3
cancerkek,Counter-Strike: Global Offensive,3
76561198073508075,Call of Duty: World at War,5
76561198074323290,Rust,4
76561198090899557,Rust,1
advenger95,Fallout 3 - Game of the Year Edition,5
EndAtHallow,Killing Floor,5
76561198015968275,Door Kickers,1
Agiegamma,Loadout,5
76561198082614708,Blockland,5
Agronoth,Space Engineers,5
UnholyFallenAngel,World of Guns: Gun Disassembly,5
76561198068565589,DayZ,3
SlutOnTheSpit,Garry's Mod,5
WestyGaming,Cry of Fear,3
NaruseAiria,Double Action: Boogaloo,5
76561198067713802,Soldier Front 2,5
76561198187212131,Counter-Strike: Global Offensive,5
76561198044678148,Montaro,3
Alex680,Garry's Mod,5
alansiulun,Football Manager 2015,5
Albolah,Putt-Putt Joins the Parade,5
76561198003056556,What's under your blanket !?,1
maxpaynepillkiller,Life Is Strange™,1
AlexNoClutch,Castle Story,1
Alexwai04,PAYDAY 2,3
76561198095481910,Loadout,1
76561198164545985,Counter-Strike: Global Offensive,5
AlkalineDeath,Baldur's Gate: Enhanced Edition,5
76561198075935236,Infestation: Survivor Stories Classic,1
mintifreshbadger,Rising Storm/Red Orchestra 2 Multiplayer,3
AlpacaRevolution,Star Trek Online,5
AlphaBryn444,Interstellar Marines,1
76561198071952798,Dead by Daylight,5
